gene,baseMean,log2FoldChange,pvalue,padj
Aph1a,2282.5163970298177,0.3209067276320839,2.4061289935457542e-05,4.6007599603310425e-05
Eif5,5193.3992675215495,0.2862571478561235,2.4211832412141704e-05,4.628893143132556e-05
Nipal1,11.118085726932543,3.7620581317581183,2.4273547935223747e-05,4.640038581505804e-05
Rftn2,23.340992642829672,-2.219453196551974,2.445670781682049e-05,4.674392451499878e-05
Cyfip2,947.6201700759844,-0.4091580621692759,2.4571558175693927e-05,4.6956825380384254e-05
Naa12,2199.1307364967706,-0.28649535242066526,2.509633612719326e-05,4.795293730159365e-05
Ccm2l,15.70045648460607,2.438867478146173,2.51724751751789e-05,4.809165067246705e-05
Trpv4,85.14355110710443,-1.0742117177850983,2.5177824351153297e-05,4.809510100514422e-05
Gm19605,30.005317139554617,-1.7057168109167518,2.5240267303785022e-05,4.8207596507890515e-05
Stam2,1430.6805162348583,0.31537084034170215,2.5271227810644812e-05,4.825993898448125e-05
Dab2ip,16.281654761923004,-2.5764200532337735,2.535767741601144e-05,4.841821820860027e-05
Disc1,77.1965612659424,-1.0508704051266233,2.554489718303645e-05,4.876883746308534e-05
Zfp451,783.0947015302676,-0.38266659590771046,2.5630046338060484e-05,4.8917639059734675e-05
Gm10123,527.889965932696,0.5051651787335069,2.562698073604154e-05,4.8917639059734675e-05
Snora57,16.577249862066722,-2.6314714728087893,2.5759552065523547e-05,4.9157902395250474e-05
Lmo2,1877.0721637387016,-0.3333272817769736,2.5769630936402326e-05,4.9170223549441266e-05
Tusc2,283.3122199734131,-0.5898989773637989,2.601395961651013e-05,4.962944312501876e-05
Trio,1623.3915592701594,0.375761317467099,2.6034822027779652e-05,4.966226450324353e-05
Sec63,2088.2955784937044,0.27881267029987955,2.629605182586951e-05,5.014040843818033e-05
Snx9,2595.1306673900367,-0.29406980597520416,2.629656458460334e-05,5.014040843818033e-05
4931440P22Rik,117.81952310139951,0.9244676210272327,2.6291810618812038e-05,5.014040843818033e-05
Hnrnph1,4584.311339938784,0.25431376501743574,2.6357960007270204e-05,5.0250414204871596e-05
Rbm15b,606.4330931850458,-0.43548293211426264,2.638632058600518e-05,5.029741828878448e-05
Aifm2,337.8001685754219,-0.5651463995971691,2.6407872147451853e-05,5.033143169468007e-05
Rap1a,2872.831552737313,0.2907412632859569,2.6428185589218986e-05,5.036307611793605e-05
Dhx37,636.3773272552418,-0.41759656173330995,2.6621008621495077e-05,5.072340974567296e-05
Dnajc27,255.6021355481603,-0.7433275861414347,2.667509145555582e-05,5.08193251112582e-05
Adgrl1,29.358471020173837,-1.7311765978351525,2.67427042613488e-05,5.094098619752296e-05
Memo1,1116.9149538321462,0.3655811268051075,2.6754459250856096e-05,5.095622700591001e-05
Scfd2,233.72320344820858,-0.7094438140463536,2.6828858418787612e-05,5.109075816170357e-05
Snx32,157.55200194502757,-0.7790914770329519,2.6948340292204114e-05,5.131109147515481e-05
Srp68,1652.2593634809637,0.3112479304872844,2.697855657721009e-05,5.136142033366757e-05
Surf1,339.24479819545826,-0.5293712366572514,2.7469850705809664e-05,5.228940590108826e-05
Gm20457,15.309572728896839,-2.803176383494096,2.750497382980542e-05,5.234892242930157e-05
Mcpt8,12.535477157108872,3.1566376059313783,2.7580453193882714e-05,5.248521963462273e-05
Edaradd,13.012752593470744,-3.22925544466352,2.7584775235268357e-05,5.248608621299869e-05
Nos1ap,15.113010072826867,-2.7684674137244376,2.7632591912672186e-05,5.256969903610543e-05
Gdf3,312.1256969366071,-0.5630545203358288,2.772298934700031e-05,5.2734284949016565e-05
Paip2,942.0776031368695,-0.3731771540097924,2.774825872569825e-05,5.2774956416229234e-05
Arhgap32,74.40659199306255,1.100452086741951,2.793483571929757e-05,5.312236761750424e-05
Gm16161,25.1059097447022,2.2311048326628513,2.7961742215161438e-05,5.316608612251034e-05
Ddost,3438.266278098495,0.25849890151368377,2.8052730588508567e-05,5.333161974907777e-05
Jmjd8,123.16154790867375,-0.8527481278849025,2.8153471428037398e-05,5.351564503069313e-05
2810021J22Rik,69.99036341275412,-1.1137943158708905,2.8240985597443107e-05,5.3674480327596295e-05
Tia1,427.22955392906624,-0.4861414730352904,2.825574769056267e-05,5.369501878086206e-05
Rgmb,343.21251107030315,-0.6154315545350382,2.849896859356962e-05,5.4149636014713605e-05
Gm33858,12.584750136644935,-3.448545127616205,2.8527346485270505e-05,5.419596937593588e-05
Bola2,994.5894299166507,0.35292938344089264,2.86433227342785e-05,5.4408684969926724e-05
Ptgs2os,24.390424377846198,9.085870905073614,2.8659692486655256e-05,5.4432162559655586e-05
Snrpa,926.6004500745779,-0.3967929502472194,2.872423625417938e-05,5.454711568469934e-05
Pus1,454.7011060543835,-0.5668640233849862,2.8826844989257308e-05,5.473431163577825e-05
Stag3,35.61031413511447,-1.8125943452199194,2.9114328306840375e-05,5.52724325086785e-05
Gm14321,12.882959382191169,-3.2070656530651536,2.919530587614121e-05,5.541841448227392e-05
Dalrd3,287.95213208182275,-0.6601645108790817,2.9329902827370935e-05,5.5666121501500706e-05
Gm9761,27.97866142023122,1.6782089274491039,2.9392945656955306e-05,5.5777973486301036e-05
Trp53i13,151.91167620712238,-0.8296307393699286,2.9398098828984525e-05,5.577995436184456e-05
Ncoa1,884.4870483527442,-0.48147141685291067,2.9480995542022327e-05,5.592942466630483e-05
Zfp983,58.0777405471136,-1.3171981763804954,2.9611584795746758e-05,5.6169319734134504e-05
Hipk1,2483.4593787492427,-0.2761317570275682,2.968331313203409e-05,5.629751187008953e-05
Tnfrsf11a,5913.459430285831,0.2563198278413755,2.9696146025198587e-05,5.631398241772082e-05
Atpaf1,226.193767344476,-0.6687399154506802,2.998200479118376e-05,5.684812586052918e-05
Fancf,52.52780317088993,-1.3721049579326832,3.0244377802635192e-05,5.733759557164387e-05
3110082I17Rik,419.0581629161276,-0.5214579650601825,3.0261106834299393e-05,5.736129928344923e-05
Zfp882,16.659462168435116,-2.4889752487388472,3.0363240210405254e-05,5.7546861577218784e-05
Runx2,118.8746944284561,-0.9516840740624565,3.0406533205371552e-05,5.762086859272839e-05
Ehf,22.68349270645946,8.983704342496917,3.069119739611898e-05,5.8152193391250566e-05
Itm2b,24889.42709719574,0.22562386464878878,3.073164358130509e-05,5.8220702019907235e-05
Daam2,26.140335747108708,1.9244776443267395,3.085425814519036e-05,5.844483673776359e-05
Smim13,665.4688553154523,0.40495195400771217,3.0891763644247595e-05,5.8507715879310286e-05
Fgd1,25.782956903938953,2.0191052593198067,3.0897499763086125e-05,5.851041598550935e-05
Aip,1446.0288549430345,0.308780120218176,3.1087538089977715e-05,5.8862078676713277e-05
Snapin,964.3845911739435,-0.3719695240507557,3.109415697730741e-05,5.8866399834026614e-05
Pard6a,60.475804550664996,-1.5362520127432766,3.11137998218594e-05,5.889537286039876e-05
Lama5,22.53191102272441,8.976918910821727,3.1119568674227925e-05,5.8898079361958985e-05
