gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
Gm28344,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0
Gm10075,4,4,2,1,0,0
Tfap2b,0,0,0,0,0,0
Gm28340,0,0,0,0,0,0
Gm28341,0,0,0,0,0,0
Gm4849,2,1,2,1,1,2
SNORD29,0,0,0,0,0,0
Gm38382,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0
Gm37315,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0
Gm15795,0,1,0,2,3,0
Gm24162,0,0,0,0,0,0
Lincmd1,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,0,0,0,0,0
Il17f,0,0,0,0,0,0
Mcm3,5379,3675,3624,740,571,512
Gm20587,0,0,0,0,0,0
Gm28065,0,0,0,0,0,0
Gm24723,0,0,0,0,0,0
6720483E21Rik,0,0,0,0,0,0
Paqr8,42,24,38,6,9,6
Gm24171,0,0,0,0,0,0
Gm28064,0,0,0,0,0,0
Efhc1,2,6,0,3,4,2
Tram2,675,424,423,909,832,625
Gm28287,0,0,0,0,0,0
Gm2693,0,6,0,0,0,0
Tmem14a,35,41,35,18,18,6
Gm38224,0,0,0,0,0,0
Gsta3,4,1,5,5,2,0
Gm28836,0,0,3,0,0,0
Gm7094,0,0,1,0,0,0
Gm4956,0,0,0,0,4,0
Gm21909,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0
Gm16327,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Gm2709,0,0,0,0,0,0
Gm16533,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0
Gm16328,0,0,0,0,0,0
Kcnq5,0,6,4,3,0,7
Gm36949,0,0,0,0,0,0
Gm7658,14,7,5,13,10,7
Gm38243,0,0,0,0,0,0
Gm5696,0,0,1,0,0,0
Gm28239,0,0,0,0,0,0
Rims1,0,0,0,0,0,0
Gm26866,0,0,0,0,0,0
Gm7761,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0
